Marca;Segmento;Modelo
BENTLEY;Gran lujo;MULSANNE
BUICK;Gran lujo;BUICK
BYD;Monovolumen compacto;E6
CADILLAC;Familiar;BLS
CADILLAC;Gran lujo;CADILLAC
CHEVROLET;Utilitario/Polivalente;AVEO
CHEVROLET;Familiar;CRUZE
CHEVROLET;Familiar;MALIBU
CHEVROLET;TTE Compacto;TRAX
CHEVROLET (US);Berlina;CHEVROLET
CITROEN;TTE Familiar;C-CROSSER
CITROEN;Compacto;C-ELYSEE
CITROEN;Superutilitario;C-ZERO
CITROEN;Superutilitario;C1
CITROEN;Monovolumen polivalente;C3
CITROEN;Utilitario/Polivalente;C3
CITROEN;Compacto;C4
CITROEN;Monovolumen compacto;C4
CITROEN;TTE Compacto;C4 AIRCROSS
CITROEN;Compacto;C4 CACTUS
CITROEN;Familiar;C5
CITROEN;Monovolumen familiar;C8
CITROEN;Utilitario/Polivalente;DS3
CITROEN;Compacto;DS4
CITROEN;Familiar;DS5
CITROEN;Utilitario/Polivalente;E-MEHARI
DACIA;TTE Compacto;DUSTER
DACIA;Monovolumen compacto;LODGY
DACIA;Compacto;LOGAN
DACIA;Utilitario/Polivalente;SANDERO
FERRARI;Deportivo alto;458
FERRARI;Deportivo alto;488
FERRARI;Deportivo alto;599 GTB
FERRARI;Deportivo alto;612 SCAGLIETTI
FERRARI;Deportivo alto;CALIFORNIA
FERRARI;Deportivo alto;F12 BERLINETTA
FERRARI;Deportivo alto;F12 TDF
FERRARI;Deportivo alto;FF
FERRARI;Deportivo alto;GTC4 LUSSO
FIAT;Deportivo bajo;124 SPIDER
FIAT;Superutilitario;500
FIAT;Monovolumen polivalente;500 L
FIAT;Monovolumen compacto;500 L LIVING
FIAT;TTE Compacto;500 X
FIAT;Monovolumen familiar;FREEMONT
FIAT;Utilitario/Polivalente;GRANDE PUNTO
FIAT;Superutilitario;PANDA
FIAT;Compacto;TIPO
FORD;Monovolumen polivalente;B-MAX
FORD;TTE Compacto;ECOSPORT
FORD;TTE Familiar;EDGE
FORD;Utilitario/Polivalente;FIESTA
FORD;Compacto;FOCUS
FORD;Monovolumen compacto;FOCUS
FORD;Monovolumen familiar;GALAXY
FORD;Superutilitario;KA
FORD;Utilitario/Polivalente;KA+
FORD;TTE Compacto;KUGA
FORD;Familiar;MONDEO
FORD;Deportivo alto;MUSTANG
FORD;Berlina;OTROS USA
FORD;Monovolumen familiar;S-MAX
FORD;Monovolumen polivalente;TOURNEO COURIER
HONDA;Familiar;ACCORD
HONDA;Compacto;CIVIC
HONDA;TTE Familiar;CRV
HONDA;TTE Compacto;HRV
HONDA;Monovolumen polivalente;JAZZ
HUMMER;TTE Superior;HUMMER H3
HYUNDAI;Compacto;ELANTRA
HYUNDAI;Berlina;GENESIS
HYUNDAI;TTE Superior;GRAND SANTA FE
HYUNDAI;Monovolumen familiar;H-1
HYUNDAI;Superutilitario;i10
HYUNDAI;Utilitario/Polivalente;i20
HYUNDAI;Compacto;i30
HYUNDAI;Familiar;i40
HYUNDAI;Compacto;IONIQ
HYUNDAI;Monovolumen polivalente;ix20
HYUNDAI;TTE Compacto;IX35
HYUNDAI;TTE Familiar;SANTA FE
HYUNDAI;TTE Compacto;TUCSON
HYUNDAI;Deportivo bajo;VELOSTER
INFINITI;TTE Familiar;EX
INFINITI;TTE Superior;FX
INFINITI;Berlina;G
INFINITI;Berlina;M
INFINITI;Compacto;Q30
INFINITI;Familiar;Q50
INFINITI;Berlina;Q70
INFINITI;TTE Compacto;QX30
INFINITI;TTE Familiar;QX50
INFINITI;TTE Superior;QX70
JAGUAR;TTE Familiar;F-PACE
JAGUAR;Deportivo alto;F-TYPE
JAGUAR;Familiar;XE
JAGUAR;Berlina;XF
JAGUAR;Gran lujo;XJ
