,precio,puertas,combustible,traccion,cv,cambio,n_marchas,co2,autonomia,consumo,garantia,capacidad deposito,0_a_100,maletero,tipo_marca,longitud,Segmento
66,0.0267233749631,0.6,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.763313609467,0.0792181069959,0.0,0.39488,0.0
68,0.0274363260891,0.4,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.792899408284,0.0792181069959,0.0,0.39488,0.0
70,0.028416194878,0.4,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.792899408284,0.0792181069959,0.0,0.39488,0.0
72,0.0287428178076,0.6,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.763313609467,0.0792181069959,0.0,0.39488,0.0
74,0.0309378643777,0.6,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.763313609467,0.0792181069959,0.0,0.39488,0.0
76,0.0332277369597,0.6,0.0,1.0,0.129496402878,1.0,0.444444444444,0.224181360202,0.247054023568,0.2,0.285714285714,0.35,0.633136094675,0.0792181069959,0.0,0.39488,0.0
78,0.0339687846817,0.4,0.25,1.0,0.143884892086,1.0,0.555555555556,0.249370277078,0.199990400077,0.247058823529,0.285714285714,0.35,0.591715976331,0.0792181069959,0.0,0.39488,0.0
80,0.0342076057486,0.6,0.0,1.0,0.129496402878,1.0,0.444444444444,0.224181360202,0.247054023568,0.2,0.285714285714,0.35,0.633136094675,0.0792181069959,0.0,0.39488,0.0
82,0.0349486534706,0.4,0.25,1.0,0.115107913669,0.0,0.444444444444,0.226700251889,0.221062231502,0.223529411765,0.285714285714,0.35,0.650887573964,0.0792181069959,0.0,0.39488,0.0
84,0.0349486534706,0.4,0.25,1.0,0.143884892086,1.0,0.555555555556,0.249370277078,0.199990400077,0.247058823529,0.285714285714,0.35,0.591715976331,0.0792181069959,0.0,0.39488,0.0
86,0.0352752764003,0.6,0.25,1.0,0.143884892086,1.0,0.444444444444,0.249370277078,0.199990400077,0.247058823529,0.285714285714,0.35,0.591715976331,0.0792181069959,0.0,0.39488,0.0
88,0.0365571835972,0.4,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.792899408284,0.0792181069959,0.0,0.39488,0.0
90,0.0378882598373,0.4,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.792899408284,0.0792181069959,0.0,0.39488,0.0
92,0.0407716730118,0.4,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.792899408284,0.0792181069959,0.0,0.39488,0.0
94,0.0423731789894,0.4,0.0,1.0,0.129496402878,1.0,0.444444444444,0.224181360202,0.247054023568,0.2,0.285714285714,0.35,0.633136094675,0.0792181069959,0.0,0.39488,0.0
96,0.0433530477783,0.4,0.0,1.0,0.129496402878,1.0,0.444444444444,0.224181360202,0.247054023568,0.2,0.285714285714,0.35,0.633136094675,0.0792181069959,0.0,0.39488,0.0
98,0.04442071843,0.4,0.25,1.0,0.143884892086,1.0,0.555555555556,0.249370277078,0.199990400077,0.247058823529,0.285714285714,0.35,0.591715976331,0.0792181069959,0.0,0.39488,0.0
100,0.0528883300788,0.4,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.792899408284,0.0792181069959,0.0,0.39488,0.0
102,0.0362165123695,1.0,0.25,1.0,0.129496402878,1.0,0.555555555556,0.360201511335,0.196726426189,0.358823529412,0.285714285714,0.5,0.757396449704,0.218106995885,0.0,0.6096,0.17
103,0.0414846241378,1.0,0.25,1.0,0.129496402878,1.0,0.555555555556,0.360201511335,0.196726426189,0.358823529412,0.285714285714,0.5,0.757396449704,0.218106995885,0.0,0.6096,0.17
104,0.0425382464914,1.0,0.25,1.0,0.129496402878,1.0,0.555555555556,0.362720403023,0.193558451532,0.364705882353,0.285714285714,0.5,0.781065088757,0.218106995885,0.0,0.62048,0.17
105,0.0436550861863,1.0,0.0,1.0,0.129496402878,1.0,0.444444444444,0.269521410579,0.292677658579,0.241176470588,0.285714285714,0.5,0.822485207101,0.218106995885,0.0,0.6096,0.17
106,0.0454111234424,1.0,0.25,1.0,0.143884892086,1.0,0.555555555556,0.27959697733,0.250005999952,0.282352941176,0.285714285714,0.5,0.727810650888,0.218106995885,0.0,0.6096,0.17
107,0.0464015284548,1.0,0.5,1.0,0.165467625899,1.0,0.555555555556,0.352644836272,0.179110567115,0.394117647059,0.285714285714,0.5,0.627218934911,0.218106995885,0.0,0.6096,0.17
108,0.046464745796,1.0,0.25,1.0,0.143884892086,1.0,0.555555555556,0.284634760705,0.244894040848,0.288235294118,0.285714285714,0.5,0.745562130178,0.218106995885,0.0,0.62048,0.17
109,0.0471671606985,1.0,0.0,1.0,0.129496402878,0.0,0.444444444444,0.261964735516,0.307701538388,0.229411764706,0.285714285714,0.5,0.87573964497,0.218106995885,0.0,0.6096,0.17
110,0.0483963867777,1.0,0.5,1.0,0.107913669065,1.0,0.555555555556,0.264483627204,0.203398372813,0.347058823529,0.285714285714,0.5,0.92899408284,0.218106995885,0.0,0.6096,0.17
111,0.0489231979546,1.0,0.0,1.0,0.129496402878,1.0,0.444444444444,0.269521410579,0.292677658579,0.241176470588,0.285714285714,0.5,0.822485207101,0.218106995885,0.0,0.6096,0.17
